time,median_activity
0,12.0
1,17.5
2,17.0
3,16.5
4,15.5
5,12.0
6,16.5
7,12.5
8,22.5
9,18.0
10,13.5
11,17.0
12,22.0
13,20.0
14,19.0
15,26.5
16,17.5
17,17.0
18,24.0
19,31.0
20,22.5
21,27.5
22,21.5
23,24.0
24,23.5
25,29.5
26,22.0
27,27.0
28,27.5
29,26.5
30,25.0
31,22.5
32,24.0
33,29.5
34,23.0
35,24.0
36,27.0
37,28.5
38,28.0
39,27.0
40,26.5
41,34.0
42,32.5
43,26.5
44,30.0
45,28.0
46,28.5
47,27.0
48,40.5
49,43.5
50,47.5
51,42.5
52,32.5
53,42.5
54,42.5
55,38.0
56,40.5
57,40.0
58,44.0
59,45.0
60,33.0
61,41.5
62,42.5
63,37.5
64,37.5
65,37.5
66,39.0
67,43.0
68,45.0
69,40.0
70,42.0
71,39.0
72,43.5
73,44.5
74,45.0
75,52.0
76,43.0
77,47.0
78,48.0
79,46.5
80,50.0
81,46.5
82,44.0
83,55.0
84,46.5
85,49.0
86,47.5
87,48.5
88,49.5
89,50.5
90,48.5
91,48.0
92,49.5
93,47.5
94,46.0
95,49.0
96,48.0
97,45.5
98,48.0
99,48.5
100,49.0
101,45.0
102,52.0
103,46.5
104,44.5
105,52.0
106,47.0
107,47.0
108,48.0
109,42.5
110,41.5
111,45.5
112,53.0
113,42.5
114,44.5
115,46.5
116,45.5
117,51.0
118,51.0
119,53.0
120,50.5
121,44.5
122,50.0
123,44.0
124,45.0
125,49.0
126,50.5
127,43.5
128,43.5
129,40.0
130,45.5
131,53.0
132,47.5
133,42.0
134,46.5
135,47.0
136,45.5
137,44.5
138,38.5
139,36.0
140,38.5
141,39.5
142,41.5
143,46.0
144,45.0
145,45.0
146,41.0
147,46.0
148,46.5
149,48.0
150,47.5
151,54.5
152,45.5
153,46.5
154,41.5
155,42.5
156,37.5
157,39.5
158,43.5
159,47.5
160,36.0
161,48.5
162,48.0
163,37.0
164,45.0
165,51.5
166,49.0
167,45.5
168,42.0
169,42.0
170,39.5
171,51.5
172,42.5
173,48.0
174,45.0
175,45.5
176,32.5
177,39.5
178,39.5
179,43.0
180,43.5
181,42.5
182,43.5
183,41.0
184,45.5
185,43.0
186,41.5
187,38.5
188,44.5
189,42.5
190,39.5
191,40.0
192,46.5
193,39.5
194,33.0
195,42.0
196,45.5
197,37.0
198,40.0
199,44.0
200,42.0
201,37.5
202,46.5
203,38.5
204,42.5
205,33.0
206,40.0
207,38.5
208,41.5
209,46.0
210,44.5
211,36.0
212,42.0
213,47.0
214,42.0
215,37.0
216,40.5
217,37.5
218,40.0
219,44.0
220,39.0
221,36.0
222,37.5
223,42.5
224,36.5
225,36.5
226,38.5
227,40.0
228,40.0
229,39.5
230,37.5
231,38.5
232,41.0
233,36.5
234,37.0
235,40.0
236,43.0
237,38.0
238,43.0
239,42.5
240,37.0
241,35.0
242,25.5
243,35.0
244,30.5
245,32.0
246,33.5
247,36.5
248,43.5
249,41.5
250,37.0
251,38.0
252,34.0
253,32.0
254,35.0
255,34.5
256,28.5
257,35.0
258,31.5
259,34.0
260,36.0
261,36.0
262,30.5
263,31.0
264,37.5
265,41.5
266,40.0
267,32.0
268,33.5
269,37.5
270,27.0
271,26.0
272,35.5
273,31.0
274,31.0
275,38.5
276,30.0
277,29.0
278,30.0
279,39.5
280,35.0
281,34.5
282,39.0
283,26.5
284,35.5
285,38.0
286,29.0
287,36.5
288,35.5
289,41.0
290,35.5
291,34.5
292,37.0
293,34.0
294,35.0
295,27.5
296,36.0
297,33.5
298,34.5
299,36.5
300,35.0
301,32.0
302,27.0
303,31.5
304,35.5
305,41.0
306,49.0
307,39.5
308,33.0
309,26.0
310,39.5
311,31.5
312,27.5
313,26.5
314,33.0
315,28.5
316,29.5
317,30.5
318,43.0
319,33.5
320,26.5
321,29.5
322,34.0
323,40.5
324,36.5
325,31.0
326,33.0
327,37.5
328,30.0
329,32.5
330,27.5
331,27.0
332,32.5
333,32.0
334,30.0
335,27.0
336,30.5
337,30.0
338,28.0
339,31.5
340,31.5
341,20.5
342,32.0
343,34.0
344,34.0
345,33.0
346,29.5
347,33.0
348,29.5
349,38.5
350,31.0
351,35.5
352,34.5
353,35.0
354,32.0
355,32.5
356,30.0
