time,median_activity
0,2.5
1,8.0
2,8.0
3,2.5
4,0.0
5,4.0
6,9.0
7,9.0
8,7.0
9,4.0
10,11.5
11,12.5
12,10.0
13,3.5
14,8.0
15,10.5
16,11.5
17,11.0
18,9.0
19,6.5
20,7.0
21,12.5
22,3.5
23,10.0
24,7.5
25,8.0
26,1.0
27,2.0
28,5.5
29,9.0
30,8.5
31,3.0
32,5.5
33,2.0
34,5.0
35,5.5
36,7.0
37,0.5
38,5.0
39,10.0
40,12.0
41,17.5
42,11.0
43,20.5
44,20.5
45,30.0
46,36.0
47,38.0
48,45.0
49,41.0
50,40.5
51,32.5
52,46.0
53,42.5
54,52.0
55,47.5
56,46.0
57,57.0
58,48.0
59,49.5
60,47.0
61,48.0
62,37.0
63,48.0
64,49.5
65,47.0
66,55.0
67,57.5
68,49.5
69,47.5
70,54.0
71,54.0
72,54.5
73,51.5
74,48.5
75,53.0
76,55.5
77,53.5
78,54.5
79,44.0
80,53.5
81,58.5
82,51.0
83,59.5
84,62.0
85,62.0
86,54.0
87,54.5
88,62.0
89,67.0
90,55.0
91,58.0
92,60.0
93,53.0
94,57.5
95,65.5
96,59.5
97,56.5
98,60.5
99,54.0
100,53.0
101,63.0
102,61.0
103,52.0
104,60.0
105,58.0
106,60.5
107,52.5
108,61.5
109,56.0
110,48.5
111,57.0
112,53.0
113,55.5
114,49.5
115,57.5
116,59.5
117,56.5
118,54.0
119,54.5
120,58.5
121,60.5
122,57.0
123,60.5
124,51.0
125,54.0
126,58.0
127,54.0
128,47.0
129,53.0
130,49.5
131,51.0
132,52.0
133,52.0
134,50.5
135,45.5
136,50.0
137,45.0
138,50.0
139,58.0
140,48.5
141,47.5
142,48.5
143,46.5
144,48.0
145,48.0
146,52.0
147,62.0
148,55.0
149,50.0
150,45.5
151,45.0
152,54.0
153,55.0
154,51.5
155,51.5
156,49.5
157,51.0
158,42.5
159,48.5
160,46.5
161,49.0
162,37.5
163,49.0
164,46.5
165,43.0
166,51.0
167,44.5
168,40.5
169,46.0
170,37.5
171,38.5
172,52.5
173,49.0
174,44.5
175,54.0
176,45.0
177,47.5
178,45.5
179,45.5
180,38.5
181,51.5
182,48.5
183,41.0
184,42.0
185,51.5
186,48.5
187,45.0
188,54.5
189,53.0
190,37.5
191,38.5
192,42.0
193,40.5
194,40.5
195,40.0
196,51.0
197,44.0
198,41.5
199,47.5
200,47.5
201,48.0
202,46.5
203,47.0
204,34.0
205,35.5
206,46.0
207,50.5
208,42.0
209,42.0
210,32.5
211,38.0
212,41.5
213,33.5
214,38.0
215,42.5
216,45.0
217,51.0
218,46.5
219,38.5
220,38.5
221,34.0
222,40.0
223,36.5
224,37.5
225,39.5
226,38.5
227,32.0
228,35.0
229,50.0
230,49.0
231,48.0
232,40.5
233,38.5
234,37.5
235,37.0
236,47.0
237,45.0
238,44.5
239,33.0
240,38.0
241,33.5
242,32.5
243,33.5
244,31.0
245,38.5
246,41.0
247,37.0
248,35.5
249,35.0
250,36.0
251,34.0
252,37.0
253,42.0
254,36.0
255,28.0
256,38.5
257,39.5
258,37.5
259,41.5
260,30.5
261,35.0
262,47.5
263,44.0
264,37.5
265,32.5
266,36.5
267,28.5
268,48.0
269,48.0
270,37.5
271,35.5
272,33.5
273,45.0
274,36.5
275,41.0
276,32.0
277,37.0
278,39.0
279,41.0
280,42.0
281,31.5
282,26.0
283,38.5
284,31.5
285,24.5
286,37.5
287,40.5
288,41.5
289,41.0
290,34.0
291,39.0
292,32.0
293,42.0
294,38.0
295,40.0
296,32.0
297,43.0
298,39.0
299,41.0
300,38.5
301,42.0
302,43.0
303,49.0
304,37.5
305,47.5
306,47.0
307,39.5
308,41.0
309,41.0
310,39.5
311,34.0
312,34.5
313,38.0
314,32.0
315,45.0
316,41.0
317,46.5
318,41.0
319,42.5
320,46.0
321,42.5
322,42.5
323,43.5
324,29.5
325,42.0
326,39.5
327,40.0
328,39.0
329,42.5
330,50.5
331,38.5
332,39.5
333,38.5
334,39.0
335,33.0
336,38.5
337,51.5
338,37.0
339,42.5
340,40.5
341,38.5
342,37.5
343,42.5
344,45.5
345,27.0
346,41.5
347,32.5
348,44.5
349,32.0
350,27.5
351,30.0
352,32.5
353,36.5
354,38.0
355,42.5
356,42.0
357,37.0
358,42.0
359,46.0
360,36.0
361,32.0
362,42.5
363,35.5
364,34.0
365,34.5
366,47.5
367,42.0
368,32.5
369,25.0
370,34.5
371,43.5
372,46.5
373,33.5
374,31.5
375,32.5
376,37.0
377,38.0
378,25.0
379,43.0
380,39.0
381,32.0
382,41.0
383,45.5
384,47.0
385,47.0
386,41.5
387,37.5
388,40.5
389,42.5
390,40.0
391,46.0
392,34.0
393,37.5
394,35.5
395,36.5
396,40.0
397,34.5
398,41.5
399,40.0
400,37.5
401,43.0
402,42.0
403,44.5
404,34.5
405,47.0
406,48.0
407,46.0
408,35.0
409,46.5
410,45.0
411,41.5
412,46.0
413,44.5
414,42.0
415,46.0
416,41.5
417,32.0
418,39.0
419,40.5
420,44.0
421,41.0
422,42.5
423,48.5
424,40.5
425,42.0
426,39.0
427,47.5
428,37.0
429,34.0
430,36.0
431,33.0
432,48.5
433,48.0
434,41.5
435,47.5
436,32.5
437,37.0
438,38.0
439,33.5
440,36.0
441,40.0
442,43.0
443,42.0
444,38.5
445,42.5
446,37.5
447,33.0
448,33.0
449,36.0
450,32.5
451,35.5
452,39.0
453,28.0
454,20.0
455,25.5
456,32.5
457,30.5
458,37.0
459,39.5
460,36.5
461,42.5
462,43.0
463,40.0
464,35.5
465,33.5
466,36.5
467,35.0
468,46.5
469,34.0
470,40.5
471,36.5
472,26.0
473,36.5
474,30.0
475,30.0
476,38.5
477,36.5
478,32.5
479,29.0
480,44.0
481,37.5
482,36.0
483,31.0
484,36.5
485,27.5
486,32.5
487,35.5
488,38.0
489,34.5
490,32.0
491,39.5
492,38.5
493,37.5
494,44.5
495,29.0
496,33.0
497,34.5
498,34.0
499,32.0
500,39.5
501,29.5
502,25.5
503,37.5
504,29.5
505,25.5
506,24.5
507,26.0
508,33.0
509,34.0
510,36.0
511,34.0
512,23.0
513,33.0
514,19.5
515,25.5
516,21.0
517,19.5
518,24.5
519,30.0
520,29.5
521,26.0
522,19.5
523,20.5
524,21.0
525,25.5
526,25.5
527,23.0
528,22.5
529,21.0
530,32.0
531,31.0
532,17.0
533,24.0
534,20.0
535,12.5
536,20.5
537,22.5
538,19.5
539,20.5
540,12.0
541,20.0
542,14.5
543,13.5
544,21.5
545,25.0
546,16.0
547,10.0
548,16.0
549,23.5
550,13.0
551,14.0
552,15.0
553,24.0
554,24.5
555,11.0
556,10.5
557,12.0
558,14.5
559,11.0
560,12.5
561,10.0
562,14.5
563,11.0
564,21.5
565,20.5
566,19.5
567,16.5
568,18.5
569,12.0
570,13.0
571,6.5
572,10.0
573,12.0
574,11.5
575,18.5
576,7.5
577,12.0
578,8.0
579,9.0
580,12.0
581,7.5
582,8.0
